Name,File Identifier,Sub-Theme Name,Variable Name,Description,Time Period,Crop,Water Supply,Data Units,Recommended Renderer,Download URL
ban_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Banana under Irrigated water supply conditions,2000,Banana,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2000/ban_2000_prd.tif
brl_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Barley under Irrigated water supply conditions,2000,Barley,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2000/brl_2000_prd.tif
cc2_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Stimulants under Irrigated water supply conditions,2000,Stimulants,Irrigated,mln GK$,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2000/cc2_2000_prd.tif
cot_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Cotton under Irrigated water supply conditions,2000,Cotton,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2000/cot_2000_prd.tif
fdd_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Fodder crops under Irrigated water supply conditions,2000,Fodder crops,Irrigated,mln GK$,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2000/fdd_2000_prd.tif
frt_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Fruits and nuts under Irrigated water supply conditions,2000,Fruits and nuts,Irrigated,mln GK$,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2000/frt_2000_prd.tif
grd_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Groundnut under Irrigated water supply conditions,2000,Groundnut,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2000/grd_2000_prd.tif
mlt_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Millet under Irrigated water supply conditions,2000,Millet,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2000/mlt_2000_prd.tif
mze_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Maize under Irrigated water supply conditions,2000,Maize,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2000/mze_2000_prd.tif
nes_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Rest of crops under Irrigated water supply conditions,2000,Rest of crops,Irrigated,mln GK$,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2000/nes_2000_prd.tif
oce_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Other cereals under Irrigated water supply conditions,2000,Other cereals,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2000/oce_2000_prd.tif
olp_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Oil palm under Irrigated water supply conditions,2000,Oil palm,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2000/olp_2000_prd.tif
olv_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Olive under Irrigated water supply conditions,2000,Olive,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2000/olv_2000_prd.tif
pls_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Pulses under Irrigated water supply conditions,2000,Pulses,Irrigated,mln GK$,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2000/pls_2000_prd.tif
rcw_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Wetland rice under Irrigated water supply conditions,2000,Wetland rice,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2000/rcw_2000_prd.tif
rsd_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Rapeseed under Irrigated water supply conditions,2000,Rapeseed,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2000/rsd_2000_prd.tif
rt1_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Potato and sweet potato under Irrigated water supply conditions,2000,Potato and sweet potato,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2000/rt1_2000_prd.tif
rt2_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Cassava under Irrigated water supply conditions,2000,Cassava,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2000/rt2_2000_prd.tif
rt3_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Yams and other roots under Irrigated water supply conditions,2000,Yams and other roots,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2000/rt3_2000_prd.tif
sfl_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Sunflower under Irrigated water supply conditions,2000,Sunflower,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2000/sfl_2000_prd.tif
soy_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Soybean under Irrigated water supply conditions,2000,Soybean,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2000/soy_2000_prd.tif
srg_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Sorghum under Irrigated water supply conditions,2000,Sorghum,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2000/srg_2000_prd.tif
sub_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Sugarbeet under Irrigated water supply conditions,2000,Sugarbeet,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2000/sub_2000_prd.tif
suc_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Sugarcane under Irrigated water supply conditions,2000,Sugarcane,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2000/suc_2000_prd.tif
tob_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Tobacco under Irrigated water supply conditions,2000,Tobacco,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2000/tob_2000_prd.tif
veg_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Vegetables under Irrigated water supply conditions,2000,Vegetables,Irrigated,mln GK$,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2000/veg_2000_prd.tif
whe_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Wheat under Irrigated water supply conditions,2000,Wheat,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2000/whe_2000_prd.tif
ban_2010_prd,,"Area, Yield and Production",Production,Production for the year 2010 for Banana under Irrigated water supply conditions,2010,Banana,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2010/ban_2010_prd.tif
brl_2010_prd,,"Area, Yield and Production",Production,Production for the year 2010 for Barley under Irrigated water supply conditions,2010,Barley,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2010/brl_2010_prd.tif
cc2_2010_prd,,"Area, Yield and Production",Production,Production for the year 2010 for Stimulants under Irrigated water supply conditions,2010,Stimulants,Irrigated,mln GK$,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2010/cc2_2010_prd.tif
cot_2010_prd,,"Area, Yield and Production",Production,Production for the year 2010 for Cotton under Irrigated water supply conditions,2010,Cotton,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2010/cot_2010_prd.tif
fdd_2010_prd,,"Area, Yield and Production",Production,Production for the year 2010 for Fodder crops under Irrigated water supply conditions,2010,Fodder crops,Irrigated,mln GK$,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2010/fdd_2010_prd.tif
frt_2010_prd,,"Area, Yield and Production",Production,Production for the year 2010 for Fruits and nuts under Irrigated water supply conditions,2010,Fruits and nuts,Irrigated,mln GK$,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2010/frt_2010_prd.tif
grd_2010_prd,,"Area, Yield and Production",Production,Production for the year 2010 for Groundnut under Irrigated water supply conditions,2010,Groundnut,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2010/grd_2010_prd.tif
mlt_2010_prd,,"Area, Yield and Production",Production,Production for the year 2010 for Millet under Irrigated water supply conditions,2010,Millet,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2010/mlt_2010_prd.tif
mze_2010_prd,,"Area, Yield and Production",Production,Production for the year 2010 for Maize under Irrigated water supply conditions,2010,Maize,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2010/mze_2010_prd.tif
nes_2010_prd,,"Area, Yield and Production",Production,Production for the year 2010 for Rest of crops under Irrigated water supply conditions,2010,Rest of crops,Irrigated,mln GK$,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2010/nes_2010_prd.tif
oce_2010_prd,,"Area, Yield and Production",Production,Production for the year 2010 for Other cereals under Irrigated water supply conditions,2010,Other cereals,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2010/oce_2010_prd.tif
olp_2010_prd,,"Area, Yield and Production",Production,Production for the year 2010 for Oil palm under Irrigated water supply conditions,2010,Oil palm,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2010/olp_2010_prd.tif
olv_2010_prd,,"Area, Yield and Production",Production,Production for the year 2010 for Olive under Irrigated water supply conditions,2010,Olive,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2010/olv_2010_prd.tif
pls_2010_prd,,"Area, Yield and Production",Production,Production for the year 2010 for Pulses under Irrigated water supply conditions,2010,Pulses,Irrigated,mln GK$,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2010/pls_2010_prd.tif
rcw_2010_prd,,"Area, Yield and Production",Production,Production for the year 2010 for Wetland rice under Irrigated water supply conditions,2010,Wetland rice,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2010/rcw_2010_prd.tif
rsd_2010_prd,,"Area, Yield and Production",Production,Production for the year 2010 for Rapeseed under Irrigated water supply conditions,2010,Rapeseed,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2010/rsd_2010_prd.tif
rt1_2010_prd,,"Area, Yield and Production",Production,Production for the year 2010 for Potato and sweet potato under Irrigated water supply conditions,2010,Potato and sweet potato,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2010/rt1_2010_prd.tif
rt2_2010_prd,,"Area, Yield and Production",Production,Production for the year 2010 for Cassava under Irrigated water supply conditions,2010,Cassava,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2010/rt2_2010_prd.tif
rt3_2010_prd,,"Area, Yield and Production",Production,Production for the year 2010 for Yams and other roots under Irrigated water supply conditions,2010,Yams and other roots,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2010/rt3_2010_prd.tif
sfl_2010_prd,,"Area, Yield and Production",Production,Production for the year 2010 for Sunflower under Irrigated water supply conditions,2010,Sunflower,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2010/sfl_2010_prd.tif
soy_2010_prd,,"Area, Yield and Production",Production,Production for the year 2010 for Soybean under Irrigated water supply conditions,2010,Soybean,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2010/soy_2010_prd.tif
srg_2010_prd,,"Area, Yield and Production",Production,Production for the year 2010 for Sorghum under Irrigated water supply conditions,2010,Sorghum,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2010/srg_2010_prd.tif
sub_2010_prd,,"Area, Yield and Production",Production,Production for the year 2010 for Sugarbeet under Irrigated water supply conditions,2010,Sugarbeet,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2010/sub_2010_prd.tif
suc_2010_prd,,"Area, Yield and Production",Production,Production for the year 2010 for Sugarcane under Irrigated water supply conditions,2010,Sugarcane,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2010/suc_2010_prd.tif
tob_2010_prd,,"Area, Yield and Production",Production,Production for the year 2010 for Tobacco under Irrigated water supply conditions,2010,Tobacco,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2010/tob_2010_prd.tif
veg_2010_prd,,"Area, Yield and Production",Production,Production for the year 2010 for Vegetables under Irrigated water supply conditions,2010,Vegetables,Irrigated,mln GK$,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2010/veg_2010_prd.tif
whe_2010_prd,,"Area, Yield and Production",Production,Production for the year 2010 for Wheat under Irrigated water supply conditions,2010,Wheat,Irrigated,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/I/2010/whe_2010_prd.tif
ban_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Banana under Rainfed water supply conditions,2000,Banana,Rainfed,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/R/2000/ban_2000_prd.tif
brl_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Barley under Rainfed water supply conditions,2000,Barley,Rainfed,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/R/2000/brl_2000_prd.tif
cc2_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Stimulants under Rainfed water supply conditions,2000,Stimulants,Rainfed,mln GK$,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/R/2000/cc2_2000_prd.tif
cot_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Cotton under Rainfed water supply conditions,2000,Cotton,Rainfed,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/R/2000/cot_2000_prd.tif
fdd_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Fodder crops under Rainfed water supply conditions,2000,Fodder crops,Rainfed,mln GK$,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/R/2000/fdd_2000_prd.tif
frt_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Fruits and nuts under Rainfed water supply conditions,2000,Fruits and nuts,Rainfed,mln GK$,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/R/2000/frt_2000_prd.tif
grd_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Groundnut under Rainfed water supply conditions,2000,Groundnut,Rainfed,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/R/2000/grd_2000_prd.tif
mlt_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Millet under Rainfed water supply conditions,2000,Millet,Rainfed,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/R/2000/mlt_2000_prd.tif
mze_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Maize under Rainfed water supply conditions,2000,Maize,Rainfed,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/R/2000/mze_2000_prd.tif
nes_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Rest of crops under Rainfed water supply conditions,2000,Rest of crops,Rainfed,mln GK$,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/R/2000/nes_2000_prd.tif
oce_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Other cereals under Rainfed water supply conditions,2000,Other cereals,Rainfed,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/R/2000/oce_2000_prd.tif
olp_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Oil palm under Rainfed water supply conditions,2000,Oil palm,Rainfed,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/R/2000/olp_2000_prd.tif
olv_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Olive under Rainfed water supply conditions,2000,Olive,Rainfed,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/R/2000/olv_2000_prd.tif
pls_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Pulses under Rainfed water supply conditions,2000,Pulses,Rainfed,mln GK$,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/R/2000/pls_2000_prd.tif
rcw_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Wetland rice under Rainfed water supply conditions,2000,Wetland rice,Rainfed,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/R/2000/rcw_2000_prd.tif
rsd_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Rapeseed under Rainfed water supply conditions,2000,Rapeseed,Rainfed,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/R/2000/rsd_2000_prd.tif
rt1_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Potato and sweet potato under Rainfed water supply conditions,2000,Potato and sweet potato,Rainfed,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/R/2000/rt1_2000_prd.tif
rt2_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Cassava under Rainfed water supply conditions,2000,Cassava,Rainfed,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/R/2000/rt2_2000_prd.tif
rt3_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Yams and other roots under Rainfed water supply conditions,2000,Yams and other roots,Rainfed,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/R/2000/rt3_2000_prd.tif
sfl_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Sunflower under Rainfed water supply conditions,2000,Sunflower,Rainfed,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/R/2000/sfl_2000_prd.tif
soy_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Soybean under Rainfed water supply conditions,2000,Soybean,Rainfed,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/R/2000/soy_2000_prd.tif
srg_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Sorghum under Rainfed water supply conditions,2000,Sorghum,Rainfed,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/R/2000/srg_2000_prd.tif
sub_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Sugarbeet under Rainfed water supply conditions,2000,Sugarbeet,Rainfed,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/R/2000/sub_2000_prd.tif
suc_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Sugarcane under Rainfed water supply conditions,2000,Sugarcane,Rainfed,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/R/2000/suc_2000_prd.tif
tob_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Tobacco under Rainfed water supply conditions,2000,Tobacco,Rainfed,1000 t,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/R/2000/tob_2000_prd.tif
veg_2000_prd,,"Area, Yield and Production",Production,Production for the year 2000 for Vegetables under Rainfed water supply conditions,2000,Vegetables,Rainfed,mln GK$,Actual Yields and Production Symbology,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res06/R/2000/veg_2000_prd.tif
